,OID_,NRI_ID,STATE,STATEABBRV,STATEFIPS,COUNTY,COUNTYTYPE,COUNTYFIPS,STCOFIPS,TRACT,TRACTFIPS,NRI_ID,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL,ALR_VRA_NPCTL,SOVI_SCORE,SOVI_RATNG,SOVI_SPCTL,RESL_SCORE,RESL_RATNG,RESL_SPCTL,RESL_VALUE,CRF_VALUE,CFLD_EVNTS,CFLD_AFREQ,CFLD_EXPB,CFLD_EXPP,CFLD_EXPPE,CFLD_EXPT,CFLD_EXP_AREA,CFLD_HLRB,CFLD_HLRP,CFLD_HLRR,CFLD_EALB,CFLD_EALP,CFLD_EALPE,CFLD_EALT,CFLD_EALS,CFLD_EALR,CFLD_ALRB,CFLD_ALRP,CFLD_ALR_NPCTL,CFLD_RISKV,CFLD_RISKS,CFLD_RISKR,HRCN_EVNTS,HRCN_AFREQ,HRCN_EXPB,HRCN_EXPP,HRCN_EXPPE,HRCN_EXPA,HRCN_EXPT,HRCN_EXP_AREA,HRCN_HLRB,HRCN_HLRP,HRCN_HLRA,HRCN_HLRR,HRCN_EALB,HRCN_EALP,HRCN_EALPE,HRCN_EALA,HRCN_EALT,HRCN_EALS,HRCN_EALR,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_ALR_NPCTL,HRCN_RISKV,HRCN_RISKS,HRCN_RISKR,NRI_VER
0,21212,T13001950100,Georgia,GA,13,Appling,County,1,13001,950100,13001950100,T13001950100,3000,425342387.0,61499118.0,129.61380588,2044273.0337609984,87.5457831898397,Relatively High,93.65818702973843,87.1421189844282,Relatively High,94.26728771049801,1710371.4715549347,907794.1081499491,0.014522216320691,168457.70932001388,634119.6540849725,0.002134266736388,4.840738774e-06,0.010311036559662,86.16506564577118,85.94396613233125,55.52000045776367,Relatively Moderate,0.515944106055177,29.569999694824215,Relatively Low,0.495521318523827,2.55985689163208,1.195221662521362,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,34.0,0.261975774656351,425342387.0,3000.0,34800000000.0,61499118.0,35286841505.0,129.61380588,0.00751928,1.61e-06,0.03503244,Relatively High,840026.2967530898,0.001267868055782,14707.269447069815,565220.983925816,1419954.5501259752,92.70097493248707,Relatively High,0.001974941417614,4.22622685e-07,0.009190716912815,91.52617365698855,1697160.438106341,93.3511997893204,Relatively High,March 2023
1,21213,T13001950201,Georgia,GA,13,Appling,County,1,13001,950201,13001950201,T13001950201,2119,209598119.0,15730269.0,41.220009870000005,790517.8138342984,63.52328402226133,Relatively Moderate,78.28735220351129,64.62879019188765,Relatively Moderate,82.58688642063775,729537.0103134202,448716.42105599085,0.009985131732353,115827.52809529896,164993.06116213053,0.002140841831963,4.71219053e-06,0.010488889996867,83.63083354862955,81.08856966179897,43.0,Relatively Moderate,0.400931565747044,29.569999694824215,Relatively Low,0.495521318523827,2.55985689163208,1.083588361740112,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,28.0,0.262988720705979,209598119.0,2119.0,24580400000.0,15730269.0,24805728388.0,41.220009870000005,0.00751928,1.61e-06,0.03503244,Relatively Moderate,414477.3098623364,0.000897209689673,10407.63240021039,144925.11671840452,569810.0589809511,84.4041316387715,Relatively Moderate,0.00197748582783,4.2341184e-07,0.009213136578809,91.05930457867352,617439.5483142056,85.01541369107555,Relatively Moderate,March 2023
2,21214,T13001950202,Georgia,GA,13,Appling,County,1,13001,950202,13001950202,T13001950202,2154,612625718.0,5392169.0,20.33656638,2464727.491659262,90.64120249250819,Relatively High,95.41383016839843,84.67717312163843,Relatively Moderate,93.29989251164456,1509122.1363488492,1307132.715883514,0.011697294955872,135688.62148811793,66300.79897721832,0.002133656288787,5.430499051e-06,0.012295756860962,87.01176691641025,93.58321837986966,90.52999877929688,Very High,0.915084199211752,29.569999694824215,Relatively Low,0.495521318523827,2.55985689163208,1.633219361305237,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,26.0,0.26021128073553,612625718.0,2154.0,24986400000.0,5392169.0,25604417887.0,20.33656638,0.00751928,1.61e-06,0.03503244,Relatively High,1209924.5021084207,0.000909343095709,10548.379910221453,49272.07171093122,1269744.953729572,91.62687090917412,Relatively High,0.001974981569593,4.22164854e-07,0.009137709094602,90.05690920464427,2073772.0423507593,95.04593125029047,Relatively High,March 2023
3,21215,T13001950301,Georgia,GA,13,Appling,County,1,13001,950301,13001950301,T13001950301,3059,660408921.0,4883308.0,11.0763042,2393508.3760235934,90.23450506588023,Relatively High,95.16302400573272,86.08521032482327,Relatively High,93.87316374059475,1617940.920788946,1390669.2350614995,0.014988077520549,173861.6992383641,53409.9864890814,0.002105769911399,4.899665747e-06,0.010937255337792,85.59081194071916,90.28088284260096,80.91000366210938,Very High,0.801504836975994,29.569999694824215,Relatively Low,0.495521318523827,2.55985689163208,1.479354619979858,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,21.0,0.262988720705979,660408921.0,3059.0,35484400000.0,4883308.0,36149692229.0,11.0763042,0.00751928,1.61e-06,0.03503244,Relatively High,1305949.2818500348,0.00129521681959,15024.515107240955,44990.58356039038,1365964.3805176672,92.30886593534017,Relatively High,0.00197748582783,4.2341184e-07,0.009213136578809,90.01724059014691,2020745.7170467365,94.80736758942264,Relatively High,March 2023
4,21216,T13001950302,Georgia,GA,13,Appling,County,1,13001,950302,13001950302,T13001950302,2419,428574261.0,10910944.0,16.991267670000003,1594869.238368558,82.57979355943489,Relatively Moderate,90.82766033679685,78.79723794536957,Relatively Moderate,90.36187746327482,1168560.2412678655,907618.3665791214,0.012433454362225,144228.0706018123,116713.80408693166,0.002117762192394,5.139914991e-06,0.010696948319681,85.42875261291307,88.31161109261285,71.94000244140625,Relatively High,0.686492296667861,29.569999694824215,Relatively Low,0.495521318523827,2.55985689163208,1.364815592765808,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,26.0,0.261551744977036,428574261.0,2419.0,28060400000.0,10910944.0,28499885205.0,16.991267670000003,0.00751928,1.61e-06,0.03503244,Relatively Moderate,846772.9699945981,0.001022792676255,11864.395044558525,100271.98936608832,958909.3544052452,89.08807958134355,Relatively High,0.001975790538654,4.22816319e-07,0.009190037944113,90.35747524525885,1308734.4389412731,91.1839883506576,Relatively High,March 2023
5,21217,T13001950400,Georgia,GA,13,Appling,County,1,13001,950400,13001950400,T13001950400,1456,221130294.0,31904074.0,151.83810408000002,1062421.3513088678,72.41592541502163,Relatively Moderate,84.30670010748835,71.89679874110435,Relatively Moderate,86.52812611967036,915152.8586124649,464646.6681359861,0.006721552499604,77970.00899541196,372536.18148106727,0.002101234795699,4.616450893e-06,0.011676758945615,87.24311247856822,86.25434048423155,51.810001373291016,Relatively Moderate,0.483697599426729,29.569999694824215,Relatively Low,0.495521318523827,2.55985689163208,1.160922288894653,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,33.0,0.263225007159311,221130294.0,1456.0,16889600000.0,31904074.0,17142634368.0,151.83810408000002,0.00751928,1.61e-06,0.03503244,Relatively High,437331.0601663549,0.000616681971002,7153.510863621708,294073.0305333462,738557.6015633224,86.7384770303465,Relatively High,0.001977707587032,4.2354531e-07,0.009217413128284,91.53685366858399,857407.9812874377,87.4506219695444,Relatively High,March 2023
6,21218,T13001950500,Georgia,GA,13,Appling,County,1,13001,950500,13001950500,T13001950500,4107,603170633.0,60726960.0,146.35694385000002,2999392.125881884,93.28949246063834,Relatively High,96.77534933715512,90.82603283462899,Relatively High,95.95127194553923,2142933.3512680824,1217408.796454538,0.020064177081773,232744.45414856976,692780.1006649726,0.002018348921265,4.885360867e-06,0.011408114298245,85.65892383211593,89.02035865480664,74.87999725341797,Relatively High,0.722680042995342,29.569999694824215,Relatively Low,0.495521318523827,2.55985689163208,1.399666547775269,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,32.0,0.254671692003675,603170633.0,4107.0,47641200000.0,60726960.0,48305097593.0,146.35694385000002,0.00751928,1.61e-06,0.03503244,Relatively High,1139392.978581966,0.001661948998945,19278.608387766497,539415.0201689035,1698086.6071386384,94.1870222601956,Relatively High,0.001889006056072,4.04662527e-07,0.008882628410329,90.89757868879971,2376755.0192371565,96.00173500844271,Very High,March 2023
7,21219,T13003960100,Georgia,GA,13,Atkinson,County,3,13003,960100,13003960100,T13003960100,1919,474941608.0,19295750.0,100.3176252,1269593.1050710264,77.16310707320554,Relatively Moderate,87.603009673952,68.50999365854804,Relatively Moderate,84.91580078824794,817427.8647490242,484293.38616029464,0.009724794066824,112807.61117516126,220326.86741356816,0.00101969037457,5.067636304e-06,0.011418414283641,74.39932357845785,82.07558388431717,82.62000274658203,Very High,0.819777857398782,11.979999542236328,Very Low,0.15263346470799,2.462841987609863,1.553156137466431,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,34.0,0.277103654943977,474941608.0,1919.0,22260400000.0,19295750.0,22754637358.0,100.3176252,0.00318024,7.55e-07,0.031443089,Relatively Moderate,413255.9112119305,0.000394984714077,4581.822683291686,167092.31978076597,584930.0536759883,84.65434905329326,Relatively Moderate,0.000870119408894,2.05828408e-07,0.008659540042795,86.14955067665502,908487.7028554301,87.95873158489921,Relatively High,March 2023
8,21220,T13003960200,Georgia,GA,13,Atkinson,County,3,13003,960200,13003960200,T13003960200,4901,907290785.0,37853051.0,157.36213155,2884809.7077596886,92.79955287066544,Relatively High,96.59620207810819,85.92902271179275,Relatively High,93.7298459333572,1605493.2931220739,949554.20327822,0.021669053050514,251361.01538596553,404578.0744578874,0.001046581998822,4.421353408e-06,0.010688123249507,72.8186579608709,84.02939637539836,95.0600128173828,Very High,0.961662486563956,11.979999542236328,Very Low,0.15263346470799,2.462841987609863,1.796836972236633,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,33.0,0.280521302086377,907290785.0,4901.0,56851600000.0,37853051.0,57796743836.0,157.36213155,0.00318024,7.55e-07,0.031443089,Relatively Moderate,809416.8512199356,0.001038000350652,12040.804067558867,333881.1809520068,1155338.836239502,90.77704712936544,Relatively High,0.000892125065747,2.11793583e-07,0.008820456267898,86.61794547091222,2075955.5364159823,95.05522593837622,Relatively High,March 2023
9,21221,T13003960300,Georgia,GA,13,Atkinson,County,3,13003,960300,13003960300,T13003960300,1444,164254236.0,24373807.0,90.33223914000001,717795.5812420347,60.40645959187556,Relatively Low,76.06592619132928,51.26359301970548,Relatively Low,71.4797563597277,505476.2820738117,182450.34734769695,0.006176506370212,71647.47389445362,251378.46083166127,0.001110780164888,4.277358982e-06,0.010313467273769,77.10266106113629,82.71535936831089,73.55000305175781,Relatively High,0.709064851307775,11.979999542236328,Very Low,0.15263346470799,2.462841987609863,1.420038104057312,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,32.0,0.280521302086377,164254236.0,1444.0,16750400000.0,24373807.0,16939028043.0,90.33223914000001,0.00318024,7.55e-07,0.031443089,Relatively Moderate,146535.32109075284,0.000305829933961,3547.627233943076,214988.09872568233,365071.04705037817,79.95056680347254,Relatively Moderate,0.000892125065747,2.11793583e-07,0.008820456267898,89.97757197564957,518414.7974996368,83.61501401948787,Relatively Moderate,March 2023
10,21222,T13005970100,Georgia,GA,13,Bacon,County,5,13005,970100,13005970100,T13005970100,2994,489099709.0,36938684.0,147.08446038,1231143.717826442,76.36160395757027,Relatively Moderate,86.9939089931924,77.37041125490286,Relatively Moderate,89.53780007165889,1106754.9549337712,545464.6325513104,0.012373441223135,143531.9181883678,417758.40419409325,0.001115242194003,4.1327459e-06,0.011309509678095,75.99877868332668,75.98701422251817,44.72999954223633,Relatively Moderate,0.418487997133644,12.199999809265137,Very Low,0.156574704407023,2.466824054718018,1.112390518188477,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,32.0,0.263938145554515,489099709.0,2994.0,34730400000.0,36938684.0,35256438393.0,147.08446038,0.003414465,8.39e-07,0.033840306,Relatively Moderate,438782.0515421124,0.000659577916154,7651.103827390114,335761.40709834726,782194.5624678498,87.25264330286987,Relatively High,0.000897121882242,2.20299905e-07,0.009089695970174,88.26877012037899,870105.8146678201,87.58229671742599,Relatively High,March 2023
11,21223,T13005970201,Georgia,GA,13,Bacon,County,5,13005,970201,13005970201,T13005970201,4176,1120384536.0,16701527.0,65.31340218,2542069.7846848434,91.08595347952243,Relatively High,95.62880687925474,84.90029828311059,Relatively High,93.40738086707272,1527533.8066725296,1126072.0276580562,0.019605738383081,227426.5652437368,174035.21377073717,0.001005076374651,4.694860724e-06,0.010420317481793,70.52516616952815,80.12296056699805,88.86000061035155,Very High,0.896094589752777,12.199999809265137,Very Low,0.156574704407023,2.466824054718018,1.66416597366333,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,29.0,0.235372642813045,1120384536.0,4176.0,48441600000.0,16701527.0,49578686063.0,65.31340218,0.003414465,8.39e-07,0.033840306,Relatively Moderate,945773.4968581368,0.000863459579046,10016.131116933342,132727.5683436333,1088517.196318703,90.21710937857587,Relatively High,0.000844150795079,2.06767141e-07,0.007947031929693,84.30953725035472,1811473.279860993,93.91662664787074,Relatively High,March 2023
12,21224,T13005970202,Georgia,GA,13,Bacon,County,5,13005,970202,13005970202,T13005970202,3946,825106907.0,18822661.0,76.30998375,2265154.2835465134,89.33073300670692,Relatively High,94.69724113221069,81.5146675435094,Relatively Moderate,91.83088498745968,1308387.0144788208,891444.5681391214,0.016224643635489,188205.86617167544,228736.58016802403,0.001080398867803,4.111668433e-06,0.012152191455184,72.10700613007022,82.39309327878989,92.11000061035155,Very High,0.931924041562164,12.199999809265137,Very Low,0.156574704407023,2.466824054718018,1.731257081031799,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,31.0,0.286952371888568,825106907.0,3946.0,45773600000.0,18822661.0,46617529568.0,76.30998375,0.003414465,8.39e-07,0.033840306,Relatively Moderate,765091.6037056979,0.000906890979353,10519.935360499449,184705.93103257907,960317.4700987766,89.1048624567078,Relatively High,0.000927263603316,2.29825388e-07,0.009812955300665,85.86881894328914,1662556.42014705,93.17769894505288,Relatively High,March 2023
13,21225,T13007960100,Georgia,GA,13,Baker,County,7,13007,960100,13007960100,T13007960100,1915,310793934.0,31863154.0,189.0549687,1087378.3981016236,73.04261998763259,Relatively Moderate,84.91580078824794,67.72905559339549,Relatively Moderate,84.4858473665353,798827.953308109,390931.71503618173,0.013501576236989,156618.28434907453,251277.95392285305,0.001257848600855,7.050431455e-06,0.007886160733581,77.6827864809639,82.45968700946582,67.19999694824219,Relatively High,0.632389824435686,2.490000009536743,Very Low,0.020064493013257,2.400893926620483,1.361217260360718,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,25.0,0.19838383036039,310793934.0,1915.0,22214000000.0,31863153.96296554,22556657087.962967,189.0549687,0.002044413,8.26e-07,0.031939149,Relatively Moderate,126115.99483885312,0.000314948318138,3653.4004903982127,202322.3770952082,332091.77242445946,78.91460567871474,Relatively Moderate,0.00040578653906,1.64463874e-07,0.006349728501303,86.92919152312224,452049.0526479576,82.49965144919679,Relatively Moderate,March 2023
14,21226,T13007960200,Georgia,GA,13,Baker,County,7,13007,960200,13007960200,T13007960200,940,125188010.0,33469978.0,163.60800456,598618.2554183062,54.177567426152315,Relatively Low,70.83482622715871,45.086549075792085,Relatively Low,65.42457900394125,432453.8314077556,91586.20713333537,0.006137170086618,71191.173004765,269676.45126965526,0.00073158928825,6.528904347e-06,0.008057264073184,77.39624679991545,82.27774342386908,69.01000213623047,Relatively High,0.651021139376568,2.490000009536743,Very Low,0.020064493013257,2.400893926620483,1.384236216545105,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,25.0,0.203398317663537,125188010.0,940.0,10904000000.0,33469978.0,11062657988.0,163.60800456,0.002044413,8.26e-07,0.031939149,Relatively Moderate,52071.62262552313,0.000158140109106,1834.4252656314716,218490.2240360496,272396.2719272043,76.70842042628503,Relatively Moderate,0.000415947362895,1.68234159e-07,0.006527946449085,89.89823474665486,377060.78485350485,80.84519696993169,Relatively Moderate,March 2023
