geography,geographic_area_name,families_number,families_number_moe,families_percent_distribution,families_percent_distribution_moe,families_median_income,families_median_income_moe
1400000US48001950100,Census Tract 9501; Anderson County; Texas,1440,265,1440,265,81250,10343
1400000US48001950401,Census Tract 9504.01; Anderson County; Texas,20,19,20,19,105000,62532
1400000US48001950402,Census Tract 9504.02; Anderson County; Texas,0,21,0,21,-,**
1400000US48001950500,Census Tract 9505; Anderson County; Texas,1056,197,1056,197,59959,5019
1400000US48001950600,Census Tract 9506; Anderson County; Texas,1130,226,1130,226,53063,21619
1400000US48001950700,Census Tract 9507; Anderson County; Texas,543,102,543,102,40446,8606
1400000US48001950800,Census Tract 9508; Anderson County; Texas,2156,431,2156,431,42929,25551
1400000US48001950901,Census Tract 9509.01; Anderson County; Texas,941,244,941,244,60938,20891
1400000US48001950902,Census Tract 9509.02; Anderson County; Texas,1357,219,1357,219,83694,18901
1400000US48001951001,Census Tract 9510.01; Anderson County; Texas,1193,204,1193,204,73652,22720
1400000US48001951002,Census Tract 9510.02; Anderson County; Texas,890,205,890,205,93816,24806
1400000US48001951100,Census Tract 9511; Anderson County; Texas,1424,290,1424,290,88049,20789
1400000US48003950100,Census Tract 9501; Andrews County; Texas,582,122,582,122,99625,60706
1400000US48003950200,Census Tract 9502; Andrews County; Texas,2193,279,2193,279,99676,23184
1400000US48003950300,Census Tract 9503; Andrews County; Texas,1335,226,1335,226,94345,15893
1400000US48003950400,Census Tract 9504; Andrews County; Texas,1039,186,1039,186,80058,27037
1400000US48005000102,Census Tract 1.02; Angelina County; Texas,1566,285,1566,285,79521,38817
1400000US48005000103,Census Tract 1.03; Angelina County; Texas,790,218,790,218,52760,41391
1400000US48005000104,Census Tract 1.04; Angelina County; Texas,699,116,699,116,82766,24275
1400000US48005000201,Census Tract 2.01; Angelina County; Texas,676,118,676,118,67561,28497
1400000US48005000202,Census Tract 2.02; Angelina County; Texas,701,173,701,173,48935,6951
1400000US48005000301,Census Tract 3.01; Angelina County; Texas,1424,269,1424,269,71898,18469
1400000US48005000302,Census Tract 3.02; Angelina County; Texas,1589,236,1589,236,81283,18559
1400000US48005000400,Census Tract 4; Angelina County; Texas,1270,198,1270,198,60625,17966
1400000US48005000500,Census Tract 5; Angelina County; Texas,897,174,897,174,38006,8275
1400000US48005000600,Census Tract 6; Angelina County; Texas,1256,207,1256,207,65000,6878
1400000US48005000700,Census Tract 7; Angelina County; Texas,810,207,810,207,49722,16123
1400000US48005000800,Census Tract 8; Angelina County; Texas,1545,220,1545,220,76710,17604
1400000US48005000902,Census Tract 9.02; Angelina County; Texas,819,160,819,160,88125,20856
1400000US48005000903,Census Tract 9.03; Angelina County; Texas,852,178,852,178,75625,13058
1400000US48005000904,Census Tract 9.04; Angelina County; Texas,716,177,716,177,71579,34638
1400000US48005001001,Census Tract 10.01; Angelina County; Texas,1173,167,1173,167,51458,12596
1400000US48005001002,Census Tract 10.02; Angelina County; Texas,1285,193,1285,193,71425,10863
